,states,cases,date
0,Maharashtra,77793,05-06-2020
1,Tamil Nadu,27256,05-06-2020
2,Delhi,25004,05-06-2020
3,Gujarat,18609,05-06-2020
4,Rajasthan,9930,05-06-2020
5,Uttar Pradesh,9237,05-06-2020
6,Madhya Pradesh,8762,05-06-2020
7,Unknown*,7610,05-06-2020
8,West Bengal,6876,05-06-2020
9,Bihar,4452,05-06-2020
10,Karnataka,4320,05-06-2020
11,Andhra Pradesh,4250,05-06-2020
12,Haryana,3281,05-06-2020
13,Telangana,3147,05-06-2020
14,Jammu and Kashmir,3142,05-06-2020
15,Odisha,2608,05-06-2020
16,Punjab,2415,05-06-2020
17,Assam,2115,05-06-2020
18,Kerala,1588,05-06-2020
19,Uttarakhand,1153,05-06-2020
20,Jharkhand,843,05-06-2020
21,Chhattisgarh,773,05-06-2020
22,Tripura,646,05-06-2020
23,Himachal Pradesh,383,05-06-2020
24,Chandigarh,302,05-06-2020
25,Goa,166,05-06-2020
26,Manipur,124,05-06-2020
27,Puducherry,99,05-06-2020
28,Ladakh,94,05-06-2020
29,Nagaland,80,05-06-2020
30,Arunachal Pradesh,43,05-06-2020
31,Andaman and Nicobar Islands,33,05-06-2020
32,Meghalaya,33,05-06-2020
33,Mizoram,23,05-06-2020
34,Dadra and Nagar Haveli,14,05-06-2020
35,Sikkim,2,05-06-2020
36,Lakshadweep,0,05-06-2020
37,Daman and Diu,0,05-06-2020
